,headline,date,year exp,score,pros,cons,company,position,raw_reviews,Introvert_Extrovert,Intuition_Sensing,Thinking_Feeling,Judging_Perceiving,Innovative_Traditional,Personality,reviews,emotions,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,is_exclusive,is_open,exclusive_openness
13,Good growth,2022-07-15,"Former Employee, more than 1 year",4,"Good for personal growth
Good perks
Decent compensation","Long working hours
Some meetings conducted in mandarin, so non-mandarin speakers are at a disadvantage",TikTok, Product Operations,"Good for personal growth
Good perks
Decent compensationLong working hours
Some meetings conducted in mandarin, so non-mandarin speakers are at a disadvantage",Introvert,Intuition,Feeling,Judging,innovative,INJF,good personal growth good perks decent compensationlong working hours meetings conducted mandarin nonmandarin speakers disadvantage,"{'Positive': 6, 'Negative': 0, 'Anger': 0, 'Anticipation': 2, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 2, 'Trust': 3}",6,0,0,2,0,0,2,0,2,3,0,7,Open
14,OT,2022-07-26,Current Employee,2,salary not bad compared to other companies,OT too much for almost everyone,TikTok, Machine Learning Engineer,salary not bad compared to other companiesOT too much for almost everyone,Extrovert,Intuition,Thinking,Judging,traditional,ENJT,salary bad compared companiesot much almost everyone,"{'Positive': 0, 'Negative': 1, 'Anger': 1, 'Anticipation': 0, 'Disgust': 1, 'Fear': 1, 'Joy': 0, 'Sadness': 1, 'Surprise': 0, 'Trust': 0}",0,1,1,0,1,1,0,1,0,0,3,0,Exclusive
15,Pros and cons,2022-07-25,"Current Employee, more than 1 year",3,"- Great perks and benefits
- Convenient office location and facilities 
- Opportunities to work on industry-leading portfolios","- Terrible work-life balance
- Frustrating politics at times, culture depends on which team you're on",TikTok, Content Strategist,"- Great perks and benefits
- Convenient office location and facilities 
- Opportunities to work on industry-leading portfolios- Terrible work-life balance
- Frustrating politics at times, culture depends on which team you're on",Introvert,Intuition,Thinking,Judging,traditional,INJT, great perks benefits  convenient office location facilities  opportunities work industryleading portfolios terrible worklife balance  frustrating politics times culture depends team,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 2, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 2}",2,0,0,2,0,0,0,0,0,2,0,4,Open
16,Big org but good place to work,2022-07-11,"Current Employee, more than 1 year",5,"- Good flexible benefits
- Good opportunity for growth","- Confusing org chart
- Big company red tape",TikTok, Operations,"- Good flexible benefits
- Good opportunity for growth- Confusing org chart
- Big company red tape",Extrovert,Intuition,Thinking,Perceiving,innovative,ENPT, good flexible benefits  good opportunity growth confusing org chart  big company red tape,"{'Positive': 4, 'Negative': 0, 'Anger': 0, 'Anticipation': 2, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 2, 'Trust': 3}",4,0,0,2,0,0,2,0,2,3,0,7,Open
17,Culture,2022-06-29,"Current Employee, more than 1 year",4,The people in the company are full of energy and passion.,It is not that work life balance as sometimes the workload is quite heavy.,TikTok, Anonymous Employee,The people in the company are full of energy and passion.It is not that work life balance as sometimes the workload is quite heavy.,Extrovert,Sensing,Thinking,Judging,traditional,ESJT,people company full energy passionit work life balance sometimes workload quite heavy,"{'Positive': 1, 'Negative': 1, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",1,1,0,0,0,0,0,0,0,0,0,0,Open
18,engineer,2022-07-13,Current Employee,3,higher salary and good teammate,less working time and more rest,TikTok, Software Engineer,higher salary and good teammateless working time and more rest,Extrovert,Intuition,Thinking,Judging,traditional,ENJT,higher salary good teammateless working time rest,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 2, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",2,0,0,2,0,0,1,0,1,1,0,4,Open
19,Content Moderator,2022-06-27,"Current Employee, less than 1 year",5,"Good environment, many collogue, good pay, good benefits",As for now the cons is WFH. I am the type i am not able to WFH. If there is a choice and chance to fully work at office i definitely choose that,TikTok, Content Moderator,"Good environment, many collogue, good pay, good benefitsAs for now the cons is WFH. I am the type i am not able to WFH. If there is a choice and chance to fully work at office i definitely choose that",Extrovert,Intuition,Thinking,Judging,innovative,ENJT,good environment many collogue good pay good benefitsas cons wfh type able wfh choice chance fully work office definitely choose,"{'Positive': 5, 'Negative': 0, 'Anger': 0, 'Anticipation': 4, 'Disgust': 0, 'Fear': 0, 'Joy': 4, 'Sadness': 0, 'Surprise': 3, 'Trust': 4}",5,0,0,4,0,0,4,0,3,4,0,12,Open
20,"Good Career Opportunity and Brand, but Low Compensation and Poor Leadership",2022-06-07,"Former Employee, more than 1 year",3,"1. Strong Brand Name - very attractive to future employers. 

2. People - some great people! Everyone is very helpful and collaborative from day 1. 

3. Impact and Scope - The roles are brought and wide allowing for a lot of great projects to work on and stretch yourself. You can build amazing profile and achievements. 

4. Daily food allowance and a lot of SWAG

5. Projects - a lot of problems to solve which will build your skills and experience.

6. Super fun and awesome user product.

7. 100% WFH and flexibility, until recently.

8. Speed - great start up speed that is maintained. You will learn to get things done and work fast. 

9. High performance environment.

10. Incredible collaborative tools and cloud solutions making collaboration amazing and easy. You can work from any device with easy.","1. Low Compensation: 
- TikTok pays WAY less than FAANG closer to Tier 3 companies. 
- No COL adjustment and only top performing staff get annual increments, based on “perceived performance”. 
- Only ex-FAANG employees are paid well and have RSUs. The rest are underpaid. 

2. Poor Benefits and Insurance - the benefits are below standard and the insurance is bad for a supposedly leading tech company. 

3. Poor Management and Leadership: 
- Many of the senior management are ex-FAANG ICs who are given huge portfolio in TikTok. 
- In APAC, senior leaders can be incredibly rude. 

4. Heavy Perf Review Cycles: 
- Heavy perf cycles every 6 months with low pay adjustments, if any.
- There is no clear guidance on what is high performance. 

5. Secretive and Non Transparent: 
- Nothing is shared with employees and most FTEs are treated like contractors with even basic business data kept private or not allowed to be seen. 
- No pay bands are shared or explained. 
- Leaders do not answer questions in town-halls. 
- The employee survey results are kept secret and not shared even with mid-management.

6. Lack of Investment in the Employees: 
- The company has no Talent and Development team 
- Poor training team 
- No education reimbursements. 
- No rotation programs are available, either. 
- No mentorship programs. 
- No communities 

7. WLB 
- It varies between teams, however overall it is intense. 
- Often you have to do 2 jobs at the same time with the low pay (see #1).
- Your calendar blocks and time is often not respected. 

8. Disorganised: 
- Very disorganised with re-orgs creating teams with no clear roles. 
- Frequent changes of direction, leaders and strategy. 
- Many overlapping teams and roles. 
- Mostly 2 months planning and very frequent changes. 

9. No Care for Mental Health - no insurance coverage or care of your mental health and how you feel. Management only cares about revenue. 

10. High Attrition and Decline in Talent 
- Attrition is high with average tenure around 1.5 yrs with some leaving in 2-4 months time. 
- The company has started to hire mediocre people, at best, or open positions internally only, since they’re can’t afford external candidates in this market.",TikTok, Monetisation,"1. Strong Brand Name - very attractive to future employers. 

2. People - some great people! Everyone is very helpful and collaborative from day 1. 

3. Impact and Scope - The roles are brought and wide allowing for a lot of great projects to work on and stretch yourself. You can build amazing profile and achievements. 

4. Daily food allowance and a lot of SWAG

5. Projects - a lot of problems to solve which will build your skills and experience.

6. Super fun and awesome user product.

7. 100% WFH and flexibility, until recently.

8. Speed - great start up speed that is maintained. You will learn to get things done and work fast. 

9. High performance environment.

10. Incredible collaborative tools and cloud solutions making collaboration amazing and easy. You can work from any device with easy.1. Low Compensation: 
- TikTok pays WAY less than FAANG closer to Tier 3 companies. 
- No COL adjustment and only top performing staff get annual increments, based on “perceived performance”. 
- Only ex-FAANG employees are paid well and have RSUs. The rest are underpaid. 

2. Poor Benefits and Insurance - the benefits are below standard and the insurance is bad for a supposedly leading tech company. 

3. Poor Management and Leadership: 
- Many of the senior management are ex-FAANG ICs who are given huge portfolio in TikTok. 
- In APAC, senior leaders can be incredibly rude. 

4. Heavy Perf Review Cycles: 
- Heavy perf cycles every 6 months with low pay adjustments, if any.
- There is no clear guidance on what is high performance. 

5. Secretive and Non Transparent: 
- Nothing is shared with employees and most FTEs are treated like contractors with even basic business data kept private or not allowed to be seen. 
- No pay bands are shared or explained. 
- Leaders do not answer questions in town-halls. 
- The employee survey results are kept secret and not shared even with mid-management.

6. Lack of Investment in the Employees: 
- The company has no Talent and Development team 
- Poor training team 
- No education reimbursements. 
- No rotation programs are available, either. 
- No mentorship programs. 
- No communities 

7. WLB 
- It varies between teams, however overall it is intense. 
- Often you have to do 2 jobs at the same time with the low pay (see #1).
- Your calendar blocks and time is often not respected. 

8. Disorganised: 
- Very disorganised with re-orgs creating teams with no clear roles. 
- Frequent changes of direction, leaders and strategy. 
- Many overlapping teams and roles. 
- Mostly 2 months planning and very frequent changes. 

9. No Care for Mental Health - no insurance coverage or care of your mental health and how you feel. Management only cares about revenue. 

10. High Attrition and Decline in Talent 
- Attrition is high with average tenure around 1.5 yrs with some leaving in 2-4 months time. 
- The company has started to hire mediocre people, at best, or open positions internally only, since they’re can’t afford external candidates in this market.",Extrovert,Sensing,Thinking,Judging,innovative,ESJT,1 strong brand name  attractive future employers 2 people  great people everyone helpful collaborative day 1 3 impact scope  roles brought wide allowing lot great projects work stretch yourself build amazing profile achievements 4 daily food allowance lot swag 5 projects  lot problems solve build skills experience 6 super fun awesome user product 7 100 wfh flexibility recently 8 speed  great start speed maintained learn get things done work fast 9 high performance environment 10 incredible collaborative tools cloud solutions making collaboration amazing easy work device easy1 low compensation  tiktok pays way less faang closer tier 3 companies  col adjustment top performing staff get annual increments based perceived performance  exfaang employees paid well rsus rest underpaid 2 poor benefits insurance  benefits standard insurance bad supposedly leading tech company 3 poor management leadership  many senior management exfaang ics given huge portfolio tiktok  apac senior leaders incredibly rude 4 heavy perf review cycles  heavy perf cycles every 6 months low pay adjustments any  clear guidance high performance 5 secretive non transparent  nothing shared employees ftes treated like contractors even basic business data kept private allowed seen  pay bands shared explained  leaders answer questions townhalls  employee survey results kept secret shared even midmanagement 6 lack investment employees  company talent development team  poor training team  education reimbursements  rotation programs available either  mentorship programs  communities 7 wlb  varies teams however overall intense  often 2 jobs time low pay see 1  calendar blocks time often respected 8 disorganised  disorganised reorgs creating teams clear roles  frequent changes direction leaders strategy  many overlapping teams roles  mostly 2 months planning frequent changes 9 care mental health  insurance coverage care mental health feel management cares revenue 10 high attrition decline talent  attrition high average tenure around 15 yrs leaving 24 months time  company started hire mediocre people best open positions internally only since theyre cant afford external candidates market,"{'Positive': 35, 'Negative': 5, 'Anger': 3, 'Anticipation': 21, 'Disgust': 2, 'Fear': 3, 'Joy': 16, 'Sadness': 4, 'Surprise': 2, 'Trust': 29}",35,5,3,21,2,3,16,4,2,29,8,66,Open
21,Tiktok,2022-06-22,"Former Employee, less than 1 year",4,"Benefit not too bad, salary",Work life balance depending on team 6,TikTok, Anonymous Employee,"Benefit not too bad, salaryWork life balance depending on team 6",Extrovert,Sensing,Feeling,Judging,traditional,ESJF,benefit bad salarywork life balance depending team 6,"{'Positive': 1, 'Negative': 1, 'Anger': 1, 'Anticipation': 1, 'Disgust': 1, 'Fear': 1, 'Joy': 0, 'Sadness': 1, 'Surprise': 0, 'Trust': 2}",1,1,1,1,1,1,0,1,0,2,3,3,Open
22,Happy working here,2022-06-16,"Current Employee, less than 1 year",5,I got a good mentor and colleagues,Nothing further to say so far,TikTok, Content Operations Specialist,I got a good mentor and colleaguesNothing further to say so far,Introvert,Intuition,Feeling,Judging,innovative,INJF,got good mentor colleaguesnothing say far,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 2}",2,0,0,1,0,0,1,0,1,2,0,4,Open
23,It was alright,2022-06-20,"Former Employee, less than 1 year",3,Smart people to work with.,Product sense and direction lacking,TikTok, Software Engineer,Smart people to work with.Product sense and direction lacking,Extrovert,Intuition,Thinking,Judging,innovative,ENJT,smart people work withproduct sense direction lacking,"{'Positive': 0, 'Negative': 1, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",0,1,0,0,0,0,0,0,0,0,0,0,Open
24,Career start for tech,2022-06-05,"Current Employee, more than 1 year",5,Good start for your career in tech,"Limited chance for promotion
Low salary incresment",TikTok, Model Optimization Specialist,"Good start for your career in techLimited chance for promotion
Low salary incresment",Extrovert,Intuition,Thinking,Judging,innovative,ENJT,good start career techlimited chance promotion low salary incresment,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 3, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",2,0,0,3,0,0,1,0,1,1,0,5,Open
25,"Toxic team, lots of gaslighting",2022-07-05,"Former Employee, more than 3 years",1,Salary is on par with large tech companies,"Culture and people are about as terrible as it gets. Team members are toxic, there is lots of gaslighting and you don't get acknowledged for your work. That and everything else you read on the news - horribly long hours and unrealistic pressure from the China team.",TikTok, Marketing Specialist,"Salary is on par with large tech companiesCulture and people are about as terrible as it gets. Team members are toxic, there is lots of gaslighting and you don't get acknowledged for your work. That and everything else you read on the news - horribly long hours and unrealistic pressure from the China team.",Introvert,Intuition,Thinking,Judging,innovative,INJT,salary par large tech companiesculture people terrible gets team members toxic lots gaslighting get acknowledged work everything else read news  horribly long hours unrealistic pressure china team,"{'Positive': 0, 'Negative': 1, 'Anger': 0, 'Anticipation': 1, 'Disgust': 1, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 2}",0,1,0,1,1,0,0,0,0,2,1,3,Open
26,Good,2022-06-01,Current Employee,5,Satisfied good good good good,None none none none none,TikTok, Ops Specialist,Satisfied good good good goodNone none none none none,Extrovert,Intuition,Thinking,Judging,innovative,ENJT,satisfied good good good goodnone none none none none,"{'Positive': 3, 'Negative': 0, 'Anger': 0, 'Anticipation': 3, 'Disgust': 0, 'Fear': 0, 'Joy': 3, 'Sadness': 0, 'Surprise': 3, 'Trust': 3}",3,0,0,3,0,0,3,0,3,3,0,9,Open
27,Dynamic and Young,2022-05-31,"Current Employee, less than 1 year",4,Everyone is learning together and troubleshooting. Very task oriented.,Need better leadership and decision makers.,TikTok, Anonymous Employee,Everyone is learning together and troubleshooting. Very task oriented.Need better leadership and decision makers.,Extrovert,Sensing,Thinking,Perceiving,traditional,ESPT,everyone learning together troubleshooting task orientedneed better leadership decision makers,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",2,0,0,0,0,0,0,0,0,0,0,0,Open
28,Internship,2022-05-25,Current Employee,5,the culture here is very vibrant,do not really have a con that I can think of,TikTok, Intern,the culture here is very vibrantdo not really have a con that I can think of,Extrovert,Intuition,Thinking,Perceiving,traditional,ENPT,culture vibrantdo really con think,"{'Positive': 0, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",0,0,0,0,0,0,0,0,0,0,0,0,Open
29,Good,2022-05-27,Current Employee,5,Good starting salary and big brand,So far so good since i just started working,TikTok, Software Developer,Good starting salary and big brandSo far so good since i just started working,Extrovert,Intuition,Thinking,Judging,innovative,ENJT,good starting salary big brandso far good since started working,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 4, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 2, 'Trust': 2}",2,0,0,4,0,0,2,0,2,2,0,8,Open
30,"Agressive working culture, hypergrowth, good for career growth at big scale",2022-05-24,"Current Employee, more than 1 year",4,"- Collaborative working environment
- Opportunity to create your autonomy
- Competitive package","- Constant changing of org structure
- Very fast paced and ambitious target
- There are still many first time managers who still need a lot of trainings",TikTok, Recruiter,"- Collaborative working environment
- Opportunity to create your autonomy
- Competitive package- Constant changing of org structure
- Very fast paced and ambitious target
- There are still many first time managers who still need a lot of trainings",Extrovert,Intuition,Thinking,Judging,traditional,ENJT, collaborative working environment  opportunity create autonomy  competitive package constant changing org structure  fast paced ambitious target  still many first time managers still need lot trainings,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",2,0,0,1,0,0,0,0,0,1,0,2,Open
31,"A company that's trying to look international, but is not at all",2022-06-03,"Former Employee, more than 1 year",2,good name that gets me more interview in my job hunting,rigid structure; message booming; managers expect you to reply messages within the second; never ending works; unfair performance review,TikTok, Anonymous Employee,good name that gets me more interview in my job huntingrigid structure; message booming; managers expect you to reply messages within the second; never ending works; unfair performance review,Extrovert,Sensing,Thinking,Judging,traditional,ESJT,good name gets interview job huntingrigid structure message booming managers expect reply messages within second never ending works unfair performance review,"{'Positive': 3, 'Negative': 1, 'Anger': 1, 'Anticipation': 2, 'Disgust': 1, 'Fear': 0, 'Joy': 1, 'Sadness': 1, 'Surprise': 2, 'Trust': 2}",3,1,1,2,1,0,1,1,2,2,2,5,Open
32,good,2022-05-21,Current Employee,5,good good good good good,nothing bad for all time,TikTok, Principal Software Engineer,good good good good goodnothing bad for all time,Extrovert,Intuition,Feeling,Judging,traditional,ENJF,good good good good goodnothing bad time,"{'Positive': 4, 'Negative': 1, 'Anger': 1, 'Anticipation': 5, 'Disgust': 1, 'Fear': 1, 'Joy': 4, 'Sadness': 1, 'Surprise': 4, 'Trust': 4}",4,1,1,5,1,1,4,1,4,4,3,13,Open
33,Great team with great work loads,2022-05-20,"Current Employee, less than 1 year",5,"- Fast paced company with many interesting projects help me see my impacts obviously.
- Great team where everyone appreciates and supports each other.
- Great benefits.
- WFH is still the default setting.",- Virtual onboarding process is a poor experience.,TikTok, Content Operations Analyst,"- Fast paced company with many interesting projects help me see my impacts obviously.
- Great team where everyone appreciates and supports each other.
- Great benefits.
- WFH is still the default setting.- Virtual onboarding process is a poor experience.",Extrovert,Intuition,Thinking,Judging,innovative,ENJT, fast paced company many interesting projects help see impacts obviously  great team everyone appreciates supports other  great benefits  wfh still default setting virtual onboarding process poor experience,"{'Positive': 3, 'Negative': 1, 'Anger': 0, 'Anticipation': 0, 'Disgust': 1, 'Fear': 1, 'Joy': 0, 'Sadness': 1, 'Surprise': 0, 'Trust': 2}",3,1,0,0,1,1,0,1,0,2,2,2,Open
