,posts,company,type
10, Shop Small is back in Singapore for its third year in support of local businesses that are vital in making up the fabric of our thriving community. That is why we are backing you so you can support the small and local businesses you love. Learn more about Shop Small: https://lnkd.in/gFuzXZa#ShopSmallSG,American Express,innovative
11," According to the Shop Small Research for Singapore 2022, local businesses may have a positive outlook this year, but consumers remain cautious in their spending due to rising costs and economic uncertainty. Read more about our research at amex.co/3QaBtpCLet’s Shop Small and do our part to help our local businesses: https://lnkd.in/gFuzXZa #ShopSmallSG ",American Express,innovative
12," American Express Chief Corporate Affairs Officer, Jennifer Skyler joined Madge Thomas, President of the American Express Foundation & Head of Corporate Sustainability to discuss highlights from our newly released 2021-2022 Environmental, Social and Governance (ESG) Report. They talk about the progress #TeamAmex is making across our goals and share how American Express’ Blue Box values are core to our ESG Strategy. Watch the video and read the full report here: https://go.amex/esg",American Express,innovative
13," American Express connects millions of customers and businesses around the world, and we're proud to say that number has more than doubled since 2017 – to over 66 million business globally, and our Card Members are taking notice. We spoke with Raymond Joabar, Group President, Global Merchant and Network Services, about how his organization is driving growth for American Express by enabling more Card Members to use their cards in more places, and in more ways, around the world.Read our interview with Joabar: go.amex/RDD5fy",American Express,innovative
14," Our Executive Vice President for the Office of Enterprise Inclusion, Diversity and Business Engagement, Robert Childs spoke to HR Daily Advisor about his 35+ year career at American Express, and how his curiosity and openness to learning led him to take on new experiences that have had a meaningful impact on our colleagues and our culture. In his current role Robert is responsible for working across #TeamAmex to ensure diversity, equity and inclusion are embedded in all major aspects of how we run the business. He says, “The diversity of people and experiences are the fuel to drive the innovation needed to deliver our best for our colleagues, customers, and the communities we serve.”Read more: https://lnkd.in/e64jaPbJ",American Express,innovative
15," Our culture of innovation has earned us a place on FastCompany's 2022 list of Best Workplaces for Innovators. For this year's fourth annual list, American Express is being recognized for fostering a culture of innovation, making efforts to invest in colleagues, creating a culture where all employees feel empowered to innovate by embracing diversity and inclusion, and launching innovations from surprising sources in the organization.   One of those innovations was the creation and growth of the global education platform Business Class – all to help small businesses do more business.   We spoke to Clayton F. Ruebensaal, Executive Vice President of Global B2B Marketing at American Express, about how Business Class is meeting small business owners where they are today and how the team's dedication made it happen. Read more: go.amex/bpLjC5#FCBestWorkplaces",American Express,innovative
16," During Mental Health Awareness Month, and all year long, we’re encouraging #TeamAmex colleagues to make space for care and connection. Our Chief Colleague Experience Officer Monique Herena explains why this is important and shares her personal experience with prioritizing her own mental health. Read more: https://lnkd.in/g7_GFipN",American Express,innovative
17," Tune in at 12:00PM EST as we go live from the 10th annual Business Class LIVE event at New York City’s Javits Center for a conversation with Maria Duenas Jacobs, Founder of Super Smalls. Maria will discuss the importance of community for a small business, what has helped her grow her business and more.",American Express,innovative
18, We're backing #TeamAmex colleagues with opportunities to put their passions into practice. Watch as Anna discusses why Amex was the right place for her to apply her degree in computer science gaming. Join our team: https://lnkd.in/dGnEYw72,American Express,innovative
19," #TeamAmex colleagues came together at our New York headquarters and other offices this week as part of our new way-of-working model, Amex Flex. Offering flexibility has always been a part of our culture, and since we announced Amex Flex, the majority of our colleagues in the U.S. have chosen a hybrid schedule that combines both an in-person and virtual presence, while more than 40% have opted to be fully virtual. Thank you to our colleagues for their enthusiasm, camaraderie and collaboration this week! amex.co/3CWOz4q",American Express,innovative
20," Congratulations to our Chief Colleague Diversity, Equity, & Inclusion and Talent Officer, Sonia Cargan, for being recognized by The HR Digest as an Influential Leader in Diversity, Equity & Inclusion. In a recent interview with The HR Digest, Cargan shared her approach to her DE&I work, saying, “Creating a more sustainable and equitable future for all is a transformational journey—one of continuous learning, growth, and progress. We have to be committed to our journey with open ears and eyes to learn and enhance as we go.” Read more: https://lnkd.in/eGyHMgpY",American Express,innovative
21," On #TeamAmex, our colleagues have each other's backs and work together to fuel innovation. Hear more about Minhae's experience and learn about opportunities at Amex: https://lnkd.in/dGnEYw72",American Express,innovative
22," In honor of Mental Health Awareness Month, American Express continues to build on our strong culture of backing—it’s been nearly a decade since we first introduced our dedicated mental health program, Healthy Minds. Over the past few years in particular, we have innovated and strengthened our Healthy Minds offerings, including telehealth, grief and loss support, group drop-in sessions, and mental health training for colleagues and leaders. We also continue to focus on supporting the holistic well-being of our colleagues because our physical, financial, and mental health is all so incredibly connected.  This month and ongoing, we are encouraging #TeamAmex to “Make Space” for Care and Connection. “Make Space” means carving out the necessary time in our busy lives to take time to do what makes us feel and perform at our best and to reach out and connect to others when needed. You aren’t alone, we all have mental health and we can all have each other’s backs today and every day. It's my hope that all colleagues—and anyone reading this—will Make Space for Mental Health this month and beyond. If you have go-to methods or ideas on how you will make space, please share! For me, my go-tos are my morning meditation (I practice mindfulness meditation), walks outside (getting outside when I can shifts my whole outlook) and calling my sister. #mentalhealth #mentalhealthawarenessmonth",American Express,innovative
23," Amex Ventures became an early investor in Boom Supersonic to support the development of the company’s airliner, Overture, which is expected to be the first large commercial aircraft to be net-zero carbon, running on 100% sustainable aviation fuel.Now, we are teaming up with Boom Supersonic to create a three-day immersive experience for Platinum Card Members at the upcoming Farnborough International Airshow on July 19-22, 2022, in Hampshire, U.K., a premier event for aviation enthusiasts. Read more about what Kathy Savitt, President & Chief Business Officer of Boom Supersonic, has to say about the company's core principles of speed, safety and sustainability: amex.co/3uYF8yt",American Express,innovative
24," We’re thrilled to receive a 2022 Handshake Early Talent Award, which honors top employers for helping to launch careers with best-in-class talent engagement and support. Congratulations to the American Express Global Recruitment Team who are committed to backing our newest talent as they begin their career journeys and ensuring they have a great experience every day. We can’t wait to watch our amazing interns and students learn, grow and lead with #TeamAmex.",American Express,innovative
25," Congratulations to our Chief Marketing Officer Elizabeth Rutledge for being named to Variety’s New York Women’s Impact Report 2022. Read more about the innovative experiences she brought to life for Card Members and her focus on empowering the next generation of talent.  https://lnkd.in/e_vvSbAF  It’s such an honor to be included in Variety’s 2022 New York Women's Impact Report alongside so many inspiring women. Thank you to all the trailblazers making waves across their industries and communities to uplift and empower others, fostering the next generation of impactful leaders.",American Express,innovative
26," In 2020, American Express co-founded the Coalition to Back Black Businesses (CBBB) together with the U.S. Chamber of Commerce Foundation and four leading national Black business organizations to help small Black-owned businesses recover from the COVID-19 pandemic. We are proud to announce that CBBB has reached the halfway point of its $10 million commitment to fund a grant program over four years. The program has helped businesses like Elk City Auto Body continue to thrive. Today, 20 businesses are receiving an additional $25,000 enhancement grant to further their momentum to success, read more: amex.co/3xPLrGl",American Express,innovative
27," We are proud of our long history of building a diverse, equitable, and inclusive culture that embraces differences and reflects the values we hold true. In celebration of Asian Pacific American Heritage Month, #TeamAmex invited actor, writer, and producer Kal Penn, to a discussion with writer, activist and scholar, Helen Zia, moderated by Amex Vice President, U.S. SME Customer Marketing, Kyoko King. The panel shared their thoughts on the multi-faceted experiences of the Asian community, and the importance of allyship and advocacy. Learn more here: amex.co/3GDHtDx",American Express,innovative
28," American Express’ Business Class LIVE event connects business owners and provides them with opportunities to learn from industry experts, leaders and entrepreneurs to build a nationwide network of support.This year, small business owners from all over the country will come together on July 20, 2022, at New York City’s Javits Center. Attendees will also be joined by a strong line up of entrepreneurs and small business advocates, including Issa Rae. The important topics of discussion will range from cashflow management, marketing strategies and contracting opportunities, to wellness in the workplace, and more. ""Through Business Class LIVE, we’re giving these business owners a space to have meaningful conversations around relevant topics and to create long-term relationships that can help their businesses grow.” ~ Clayton F. Ruebensaal, Executive Vice President, Global Commercial Services GroupTo register and learn more about this year's event, visit here: amex.co/3nWNenf",American Express,innovative
29," We’re proud to have backed communities through the years. Read more about what we’ve done, and how our giving will evolve moving forward! https://amex.co/3yUZXxK",American Express,innovative
30," We’re proud to continue our support of small businesses this summer as our Shop Small Summer survey reveals local tourism is spurring small business optimism and shopping small can help inject as much as $793 billion into the national economy this summer. In an effort to drive spend at small businesses and support local communities, we’ve collaborated with SiriusXM to bring Shop Small on its first ever concert tour this summer. The Small Stage Series will feature five artists at small venues across multiple cities in the U.S. to encourage consumers to support and immerse themselves in the culture of local communities. Marianne Rausch, VP, Small Business Saturday & Shop Small says, “85% of small business owners say they are hopeful for the success of local businesses in their community this summer thanks to the return of live events and activities. With that in mind, our goal is to drive awareness on the positive impact consumers can have when they Shop Small and encourage them to support local communities during this five-concert tour.” So let’s go #ShopSmall this Summer and support our local communities!  Learn more about the campaign here: https://amex.co/3OfS1uT",American Express,innovative
31," We’re proud to see our #TeamAmex colleagues, Glenda McNeal, President Enterprise Strategic Partnerships; Anré Williams, CEO, American Express National Bank & Group President, Enterprise Services and Colleen Taylor, President, Merchant Services – U.S. recognized on Savoy 's list of the Most Influential Black Executives in Corporate America. Through their leadership and dedication to our colleagues, customers and communities, American Express continues to foster an inclusive environment where all people can lead, grow and thrive. Read more: https://go.amex/VMkhWH",American Express,innovative
32," We launched our latest global ad campaign “Member When” to show the many ways Membership provides best-in-class experiences doing the things they love across travel, entertainment and dining.Allison Silver, VP, Global Advertising & Social Media at American Express says, “The campaign illustrates a variety of the epic experiences our Membership has to offer. It demonstrates to the next generation of prospects that we know and share their passions. Because when you are #withAmex, it’s not a question of if it’s going to happen, but when it’s going to happen.”Learn more about the campaign: amex.co/3PFpLDL",American Express,innovative
33," The Strive for College program matches prospective college students with mentors who provide support and guidance during the admissions process. As a #TeamAmex leader who is passionate about talent development, EVP Anthony Cirri's favorite part of being a Strive for College mentor is positively impacting someone in a very tangible way. He describes being a mentor as: “Gratifying, personal, inspiring.” Getting involved is made easy through a quick sign up process, and through 2022, Amex will cover the screening fee for colleagues and eligible Card Members. Learn more about how to join the program here: https://lnkd.in/etGpk832 Terms Apply.",American Express,innovative
34," Today we reported second-quarter revenues of $13.4 billion and earnings per share of $2.57. “We had an outstanding second quarter, with record levels of revenue and Card Member spending, reflecting the strength of our global customer base and continued momentum across our business,” said Stephen J. Squeri, Chairman and Chief Executive Officer. “Card Member spending was up 30 percent from a year earlier on an FX-adjusted basis, driven by the robust rebound in global Travel and Entertainment spending.” We also saw strong demand for our products and added 3.2 million new proprietary cards in the quarter, with acquisitions of U.S. Consumer Platinum, Gold and Delta co-brand Cards each reaching all-time highs. Read more here: https://lnkd.in/eeW4HaKp",American Express,innovative
35," ""The very survivability of Neir's Tavern hinges on how connected it is with the community."" ~ Loycent Gordon, Owner & CEO, Neir's TavernGordon was on a mission to give back to the community because his friends, neighbors and family had rallied for him when he needed it most. Now, as a recipient of our Backing Historic Small Restaurants grant, the owner of one of America's oldest bars spoke to us about how Amex's powerful backing has helped him, his business, and those who love it. Read more: amex.co/3aTRscm",American Express,innovative
36," Today, we published my annual letter to our shareholders, where I reflect on our strong performance in 2021 and how the investments we are making in our customers, brand and colleagues will enable us to maintain our growth momentum in 2022 and beyond. Within a week of preparing to release this letter, the world changed in ways we couldn’t have imagined with Russia’s ongoing, unjustified attack on Ukraine. We suspended our operations in Russia and Belarus as a result, and remain united with the international community in hoping for a peaceful resolution. In this ever-evolving environment, what gives me confidence in the future is our unwavering commitment to our values of doing what’s right and our focus on backing our colleagues, customers and communities. Our performance is not driven by the contributions of a few individuals, but rather the culmination of hard work, collaboration and commitment of our 64,000 #TeamAmex colleagues around the world. That is why in my letter, I focused on how we are working to provide the best colleague experience at American Express. This includes opportunities to continuously learn, advance and perform meaningful work, the flexibility to work virtually, in the office or on a hybrid schedule, our leading benefits programs, and an inclusive and engaging culture. As we look ahead, I am confident that we have the right people and strategy in place to continue winning as a team for years to come. We remain focused on executing our strategy, meeting the needs of our customers, colleagues, and communities, and continuing to build on our positive momentum to drive profitable growth. Read the full letter here and join me in thanking our colleagues: https://lnkd.in/d7vYQvgS",American Express,innovative
37," Our hearts go out to our colleagues, customers, their families and loved ones affected by the devastating situation in Ukraine. Yesterday, I shared the following note with our #TeamAmex colleagues to update them on the steps we are taking in response to this crisis, including giving $1 million in aid toward organizations providing critical assistance to those in need. We have also been taking all necessary steps to comply with government sanctions and will continue to do so as the situation evolves. During these times, our values are what guide us, and we’re working hard to do what’s right for our colleagues, customers, and communities. Our thoughts are with everyone impacted by this crisis as we continue to hope for peace. You can read more here: https://lnkd.in/gQvJfZGS",American Express,innovative
38," Today, we are proud to announce the release of American Express’ first Diversity, Equity, and Inclusion report. The report highlights our progress against our $1B Action Plan, our company’s history of fostering a culture of inclusion and belonging and reaffirms our commitment to drive lasting change.We know we have more to do and feel encouraged by our progress. The report further underscores how our #TeamAmex colleagues continue to show up for each other and are helping to build a sustainable, inclusive and prosperous future for our customers and communities. See a video message from Sonia Cargan, Chief Colleague Inclusion and Diversity Officer, and Robert Childs, EVP, Office of Enterprise Inclusion, Diversity and Business Engagement and learn more here: https://amex.co/3kKAZcv",American Express,innovative
39," We released the American Express Travel: Global Travel Trends Report, a deep dive into how and where people want to travel this year, backed by data from a global survey. ​​​​According to Audrey Hendley, President of American Express Travel, ""The pandemic has made all of us, including travelers, assess what is truly important to them."" In fact, 81% of respondents want to visit destinations where they can immerse themselves in the local culture and want the money they spend while traveling to go back to the local community.​​We know our Card Members are passionate about travel and we are proud to have their back, helping them every step of their journey. To learn more about the trends emerging in travel this year, read more about the Global Travel Trends Report here: https://amex.co/3wt8K8B​",American Express,innovative
40," We are proud of our long history of building a diverse, equitable, and inclusive culture that embraces differences and reflects the values we hold true. As we celebrate International Women’s Day, with the theme “Proudly Backing the Ambition of Women,” we are encouraging women everywhere to pursue their ambition, and pay it forward. Today and each day, #TeamAmex is committed to having open conversations so we can learn from each other and support one another as allies to drive greater gender equality. #IWD2022",American Express,innovative
41," American Express has been certified a Great Place to Work in Singapore! We believe in backing our colleagues and fostering an inclusive environment so that they can thrive personally and professionally. To #TeamAmex Singapore, we’re proud of each one of you for making American Express an amazing workplace 🌟",American Express,innovative
42, We’re supporting C40 Cities' efforts to develop consumption-based emissions inventories for London and New York City. Empowering cities and communities to leverage data and insights can help advance climate solutions and reduce the impacts of climate change. Learn more here: https://lnkd.in/egpby6Kf,American Express,innovative
43," President of American Express Travel Audrey Hendley discusses current trends in summer travel bookings, including the top 10 cities U.S. Card Members are traveling to this summer, in her column in Fortune.Audrey says, “My advice for those planning their summer getaways: Book early, make as many reservations as you can ahead of time, and be ready to pivot. Things may not always go as planned but if you go into it with an open mind and roll with the punches, I promise you the travel experience will be worth it.”Read more: https://lnkd.in/gBkApYTJ",American Express,innovative
44," We’re continuing our commitment to fostering a diverse, equitable and inclusive culture and kicking off our month-long celebration of Black History Month. This year’s theme is “Say it Loud: Proudly Backing the Black Community”, which is inspired by our collective commitment to openly seek out, and amplify Black voices and contributions. Throughout the month we’ll hear from #TeamAmex colleagues and external speakers as they share their experiences and discuss the importance of representation and belonging.",American Express,innovative
45," Today we announced that we are extending our title sponsorship of The American Express golf tournament through 2028. Since its inception in 1960, the tournament has generated approximately $63 million to support non-profit organizations in the Coachella Valley. We plan to continue this legacy and grow the total charitable funds raised to back the important work of so many outstanding local organizations dedicated to helping small businesses, youth and families in the community. https://amex.co/3qJQTat",American Express,innovative
46," At the dawn of a new era in business travel, a focus on employee wellbeing is top of mind for companies, according to Gunther Bright, Executive Vice President, Global Commercial Services at American Express. Read more on Bright’s thoughts about how companies and their employees can best prepare for what is ahead: amex.co/3N8HYay",American Express,innovative
47," “I hear this fellowship whispering and speaking to my heart… “You are enough… You have been chosen for such a time as this… Go… Fly.” And, I’m excited to listen to and create art bearing in mind that call.” ~ TaNisha Fordham As part of American Express's commitment to driving diverse and inclusive representation among the theater arts community, we are providing $50,000 in sponsorship with the Black Theatre Coalition to give a Directing Fellowship to TaNisha Fordham. Learn more about this fellowship and hear from Fordham herself about the role diversity plays in the industry today: http://amex.co/3OXz4yB Photo credit: Jeffrey Fleisig for @chadkrausphoto",American Express,innovative
48," “New York City is a vibrant, resilient and diverse place, one where people come to learn, grow and have experiences they can’t find anywhere else—all of this is reflective of who we are at American Express,” shared Monique Herena, our Chief Colleague Experience Officer. Today we’re thrilled to be ranked #3 on Great Place to Work US and Fortune's list of Best Workplaces in New York. This recognition is especially meaningful because the rankings are largely based on direct feedback from colleagues. Read more about Monique’s perspective on what makes our New York office, our global colleagues and, most importantly, our culture so special. #TeamAmex  amex.co/3b2j1jI",American Express,innovative
49," Today we celebrate International Day of Persons with Disabilities with the theme “Recognize More: Proudly Backing Disability Inclusion.” It is a call to action for us to acknowledge, appreciate and embrace our differences, develop a better understanding of the lives and experiences of people with disabilities, and raise more awareness across #TeamAmex, our company, and in our communities. In recognition of the day, our Disabilities Awareness Network (DAN) is elevating the conversation by bringing colleagues and external speakers with expertise on the topic of disability together so we can all do our part to learn and “recognize more.” Check out our 2021 Diversity, Equity and Inclusion Report https://lnkd.in/dAGxfMWU to learn more about our culture and approach to disability inclusion. #diversity #inclusion",American Express,innovative
50," Congratulations to Anna Marrs, Group President, Global Commercial Services and Credit and Fraud Risk, for her recognition on the 2022 Barron's 100 Most Influential Women in U.S. Finance list. Read more about how Anna is working to back business clients to help companies thrive. https://lnkd.in/dnfxC9Dn #BarronsInfluentialWomen",American Express,innovative
51," We’re making it faster and simpler for fintechs to bring their payment innovations to market on our global payments network. We took another step with Abra’s announcement to launch the first cryptocurrency rewards credit card on the American Express network. The Abra Crypto Card, expected at the end of 2022, will transact in U.S. dollars and offer crypto back on any purchase category and amount. Learn more: amex.co/3mPqYeo",American Express,innovative
52," American Express is encouraging donations to organizations providing relief in Ukraine. With PayPal Giving Fund, U.S. Card Members can use Membership Rewards® points towards a donation to support charities providing humanitarian assistance and relief to Ukraine and neighboring countries impacted by the crisis. From now through June 15th, we’ll match the value of each eligible donation covered with points. Terms apply. Learn more here: https://amex.co/3DPcAdT",American Express,innovative
53," The Amex network is ‘open for business’ with fintechs. Mohammed Badi, President of Global Network Services at American Express, details how our global, multi-product agreement with i2c Inc. helps #fintech companies quickly develop and scale innovative payment solutions on the Amex global payments network. Learn more in PYMNTS. https://amex.co/3KiYUKJ",American Express,innovative
54," Our colleagues Christina Glynn and Paul Collins hatched a plan to help consumers shop with purpose during our annual #TeamAmex Innovation Challenge in 2020. They had been tasked with pitching new ideas that could help American Express meet our customers’ needs.Fast-forward two years and we are proud to announce a program for eligible U.S. Consumer and Small Business Card Members to earn rewards through April 29, 2022, on eligible purchases from a variety of Certified B Corp companies among others committed to making a difference. Learn more about Christina and Paul's vision of a conscious-minded and sustainable future: https://amex.co/38JVpQ7",American Express,innovative
55," A warm welcome to the nearly 1,000 interns joining #TeamAmex around the world. As part of Amex Flex, this talented group will be working both virtually and in-person this summer, spending time in our offices in the US, UK, Germany, Spain, Italy and India. We’re looking forward to seeing them lead projects that will have meaningful impact on some of our most critical business initiatives in areas such as Analytics, Finance, Marketing, Products and Technology. Intern Class of 2022: You lead the way. We’ve got your back.",American Express,innovative
56," For over a decade, #TeamAmex colleagues have participated in the J.P. Morgan Corporate Challenge in New York City’s Central Park. For colleagues like Kyle Merber, a former professional mid-distance runner, it’s an opportunity to share his passion with his colleagues and for them to back each other to achieve their goals. Kyle, who earned first place at this year’s Corporate Challenge, says “I’ve realized that behind every individual accomplishment is teamwork. As an athlete, I had coaches who believed in my long-term potential and teammates who were there to challenge me to achieve beyond what I thought was possible. Here at Amex, I’ve found that same truth through experiences with my leaders and colleagues.” Read more about Kyle’s experience at the event and the connections he’s built with his colleagues: https://lnkd.in/gH73px7f",American Express,innovative
57," We released our 2020-2021 Environmental, Social and Governance (ESG) Report which outlines new goals and our ESG Strategy to Promote Diversity, Equity, and Inclusion (DE&I); Build Financial Confidence; and Advance Climate Solutions. For the first time we are sharing new workforce diversity disclosures on pay equity, hiring, promotions, and colleague retention. You can read the highlights from our report here: https://amex.co/3EYVFG5",American Express,innovative
58," With AnitaB.org #vGHC underway, we’re excited to connect with women technologists of all backgrounds. Meet Alejandra who joined us after last year’s Grace Hopper Celebration and now develops technology that helps Amex deliver a world-class customer experience. Alejandra is passionate about backing women in technical roles. For those attending the conference, stop by our virtual booth to chat with our team, or join our Talent Community if you want to learn more about #TeamAmex. https://lnkd.in/drRVfD7v #AmexTech #vGHC21 #WomenInTech",American Express,innovative
59," Travel is a universal passion, and we’re working to ensure every traveler feels supported. American Express Travel is working with The International LGBTQ+ Travel Association (IGLTA), global leader in advancing LGBTQ+ travel, as the association’s first global partner in the financial services sector. Learn more: https://amex.co/3CAjoLW",American Express,innovative
60," We’re proud to be part of the Coalition to Back Black Businesses, providing hundreds of Black small business owners with $5,000 grants, mentorship, and other resources to further support their resilience and long-term success. The Coalition is now accepting applications for the next round of grants. Learn more and apply at webackblackbusinesses.com.",American Express,innovative
61," We’re celebrating #HispanicHeritageMonth at American Express by honoring the history and culture of the Hispanic and Latinx community and appreciating and acknowledging the impact our colleagues make on our organization. Throughout the month, we are hosting global, virtual events to “Amplify the Impact” this community has had on society and bring awareness to their experiences, influence and resilience. We will hear perspectives from external speakers and our #TeamAmex colleagues on how to support each other and will use this month as a call to action for all of us to continue empowering each other.",American Express,innovative
62," Our Pride celebration theme is “Live Beyond Labels: Proudly Backing All of You.” We’re spotlighting and amplifying the voices of our LGBTQ+ #TeamAmex colleagues in the newest video in our “American Express Voices” series. Watch as colleagues share what it means to bring their whole selves to work, and how we can live beyond labels to be allies for each other: https://lnkd.in/gQq4P9NB",American Express,innovative
63," We back our colleagues with benefits and programs that support their careers and lives. As part of our #TeamAmex Singapore sales team, Rians feels supported to grow into a leader and advance her career whilst leaving time and energy for her interests outside of work. Read more about a career at Amex here: https://lnkd.in/gpdkXEYK",American Express,innovative
64," October 10 is #WorldMentalHealthDay, an important opportunity to focus on our holistic well-being and continue to normalize the conversation around #mentalhealth. At American Express, we know this takes more than one day of focus, and it’s why we have had an ongoing commitment to backing #TeamAmex for over a decade with benefits to support mental health, including our free counseling program for colleagues and their household members, grief and loss support, tools, resources, forums, meditation sessions, group sessions for discussions and more.Last week, we launched a new colleague campaign called “Note to Self” to further amplify our efforts. We want our colleagues to know that prioritizing self-care and reaching out for help when things aren’t OK is more than OK. My “note to self” is: Be consistent with my morning meditation practice. What’s yours?",American Express,innovative
65," Découvrez le replay du webinar « Amélioration de vos processus et délais de paiement fournisseurs » organisé par les Assises des délais de paiement .Laurent Playez, Directeur #B2B Europe chez #AmericanExpress, était présent aux côtés de Thierry MILLON, Directeur des études d'Altares - Dun and Bradstreet, Baptiste Delamare, Fondateur et Directeur Général de Let's Clic - Agence de Marketing Digital, et Gaelle Aubert, Responsable Administratif chez Darwin agency, pour un partage d'expériences croisées et l'optimisation des processus et des délais de paiement fournisseurs. https://lnkd.in/eArNu6Zq",American Express,innovative
66," We are proud to see Colleen Taylor, President of US Merchant Services, recognized as one of Savoy Magazine's 2021 Most Influential Black Corporate Directors! #TeamAmex, let’s celebrate this great accomplishment, which is a true testament to her outstanding leadership.  Bill.com Board Member Colleen Taylor was just announced as one of Savoy Magazine's 2021 Most Influential Black Corporate Directors, and we could not be more proud! 🙌 Read her interview here 👉 https://lnkd.in/dyk-pgrTAmerican Express #accounting #smallbiz #BoardOfDirectors #leadership #B2B",American Express,innovative
67, Happy #CustomerServiceWeek to all our amazing colleagues around the world. Thank you for going above and beyond to make sure our customers feel the powerful backing of American Express. I’m so inspired by the care and humanity you bring to our servicing every day. #TeamAmex,American Express,innovative
68," American Express’ commitment to powerfully back its customers, communities, and colleagues is guided by our own Blue Box Values. Today’s placement as No. 13 on Fortune's World's Most Admired Companies list is very meaningful to #TeamAmex as we prioritize many of the same attributes of this survey, including our customers, people, innovation and social responsibility. Our Chairman and CEO Steve Squeri said, “This recognition reflects the phenomenal efforts of our dedicated and talented #TeamAmex colleagues. They work every day to deliver the world’s best experience to our customers.” #MostAdmiredCos https://lnkd.in/dmAhTUka",American Express,innovative
69," I’m honored to speak at Fortune’s Most Powerful Women’s Summit on Monday and to hear from an extraordinary lineup of women leaders in politics, the arts, business and philanthropy. I’ll join Edith Cooper, Bonnie Gwin and Jennifer Morgan to talk about how companies can become more equitable and purpose-driven. Learn more about the events and the impressive lineup of women speakers here: https://lnkd.in/eVXesKXs #FortuneMPW #TeamAmex",American Express,innovative
