,date,content,reactions count,comments count,shares count,comments,username,job title
10,9 months ago, Are you an engineer who is interested in the payment technology space?Then you need to learn about the Global Payments team at #ByteDance!This team in #Singapore plays a crucial role in the financial payments domain.Learn more about the team below and click here to see the latest R&D openings in Singapore: https://lnkd.in/gD4AECAx,122,2,15,"{'comment1': 'Great opportunity', 'comment2': 'TIKTOK CANNOT PROTECT YOUR REPUTATION!https://www.linkedin.com/posts/erenayd%C4%B1n_tiktok-bytedance-reputation-activity-6879582999906717696-OMIF'}","{'username1': 'Geetanjali Sharma', 'username2': 'Eren Aydın'}","{'job_title1': 'Associate – Data Research at GroData Solutions', 'job_title2': 'Media Partner'}"
11,1 year ago," How do you go from an intern to full-time at ByteDance?Read the story of Benessa Chin, a ByteDancer in Singapore who recently transitioned to a full-time marketing position after completing a four-month #internship!If you're a current student or fresh graduate hoping to become a full-time employee at #ByteDance, here are a few of the steps Benessa took to make it happen. ⬇️",469,12,9,"{'comment1': 'https://jatta.in/seo-', 'comment2': 'congratulations', 'comment3': 'Interested', 'comment4': 'Hallo, Is it possible if Indonesia citizen can work or Intern at ByteDance Singapore ?', 'comment5': 'Fantastic and well done to the HRBP and marketing team for nurturing a talent! Welcome Benessa Chin!', 'comment6': 'Really an inspiration....', 'comment7': 'Where do i sign up? Robin Greer', 'comment8': 'Robin Greer - Austen Choo (朱晉霆) - Benessa Chin and BytePlus kudos team 👏🏻👏🏻👏🏻', 'comment9': 'Truly a rockstar, looking forward to working with you more Benessa Chin!', 'comment10': 'TIKTOK CANNOT PROTECT YOUR REPUTATION!https://www.linkedin.com/posts/erenayd%C4%B1n_tiktok-bytedance-reputation-activity-6879582999906717696-OMIF', 'comment11': 'This is great stuff Robin and BytePlus team, very encouraging!', 'comment12': 'Welcome to the Marketing team Ben!'}","{'username1': 'Komal Randhawa', 'username2': 'Saket Bharti', 'username3': 'Gourav Kumar', 'username4': 'Jeri Abdul Muin', 'username5': 'Lawrence Chua (蔡恩耀)', 'username6': 'Maheswari Chand', 'username7': 'Cristina Viscasillas', 'username8': 'Vasile Granaci', 'username9': 'Austen Choo', 'username10': 'Eren Aydın', 'username11': 'Nishant Gaurav', 'username12': 'JieMin Seah'}","{'job_title1': 'Digital Marketings ,SMO', 'job_title2': 'Software Developer at Tidal Wave|Competitive programmer| Content Creator at CodeChef', 'job_title3': 'Student at CGC Jhanjeri', 'job_title4': 'Digital Marketing Strategist & Content Director at Telkom Group || Ex Ministry Youth & Sport RI || Brand Communications Enthusiasts', 'job_title5': 'Head of Enablement Growth, BytePlus | ByteDance | Investor | Board Director', 'job_title6': 'Content Moderator at Bytedance', 'job_title7': 'Activation Account Director at Resolution Agency', 'job_title8': 'Head of EMEA at Oyster | 🌎 Remote Work Evangelist | 🦄 Angel Investor', 'job_title9': 'Content Manager at Amazon Web Services | Ex-ByteDance', 'job_title10': 'Media Partner', 'job_title11': 'Building Fintech Infra for Indonesia through APIs | Open Banking | xBytedance | Bengaluru < > Jakarta', 'job_title12': 'Art Director at ByteDance'}"
12,11 months ago, Are you an engineer or just generally interested in technology? Then you need to learn about the Technical Infrastructure team at #ByteDance! This team in Singapore plays a crucial role in building the bottom layer of our tech for products like TikTok that serve hundreds of millions of users each day.Learn more about the team below and click here to see the latest R&D openings in Singapore: https://lnkd.in/gyiSUj3c,147,6,20,{},{},{}
13,2 months ago," Have you ever been in an interview and thought to yourself, I wonder what the company culture is really like here? What would it feel like to work here every day? Would I like it? We've got you!As a part of our culture where we encourage everyone to be candid and open, we enlisted our employees to answer frequently asked questions by our candidates in this three-part series. First up, what are people at ByteDance like, and how would they describe ByteDance in a word?https://lnkd.in/djBffnAV#Culture #AskByteDancersAnything",202,2,15,{},{},{}
14,11 months ago," Introducing BytePlus!BytePlus is an intelligent services platform powered by cutting-edge technology to help businesses accelerate their growth.As we build this exciting product and expand its impact around the world, we’re hiring for numerous positions across Singapore, Tokyo, and London.Learn more below and click here to check out opportunities to work with the latest innovation at #ByteDance: https://lnkd.in/gfpnvU-k",495,4,51,{},{},{}
15,1 month ago," ByteDance has been ranked 11th on GradSingapore's Top 100 Leading Graduate Employers list!The rankings were based on surveys done with more than 11,000 undergraduate and fresh graduates in #Singapore. We're so honored to be listed for the first time! 🙏https://lnkd.in/etcBRqtCWe would like to say a huge thank you to our amazing colleagues 🥰 for making #ByteDance a great place to work with limitless possibilities to grow careers.Join us in our mission to inspire creativity and enrich life. We're empowered to turn our ideas into reality, stretch beyond our comfort zone, and support each other in the process. Explore career opportunities here: https://lnkd.in/eriyrsQN",704,3,18,{},{},{}
16,2 months ago," Congrats to ByteDance's Intelligent Creation (IC) team in Singapore. A research paper co-authored by a ByteDance researcher and the National University of Singapore has been accepted by Nature Neuroscience, one of the leading scientific journals in the field of neuroscience. The paper is titled ""Meta-matching as a simple framework to translate phenotypic predictive models from big to small data."" Brain imaging technology is a key field in neuroscience. It can be used for observing the neurochemical changes in the brain during information processing and stimulus-response, providing an important reference for the diagnosis and treatment of diseases.There is significant interest in using brain imaging data to predict non-brain-imaging phenotypes (the set of observable characteristics or traits of an organism) in individuals. However, most prediction studies rely on very limited data, making them less reliable. The team approached this issue with a unique framework of ""meta-matching,"" or translating predictive models from large-scale datasets to new unseen non-brain-imaging phenotypes. ""We demonstrated that meta-matching can boost the prediction of new phenotypes in small independent datasets by 100% to 400% in many scenarios.""You can read more about the team's paper in Nature Neuroscience https://lnkd.in/dZJTp7xsAre you interested in joining one of our award-winning teams? Check out https://lnkd.in/dxd7Cy9i to start your career at ByteDance! #ByteDance #NatureNeuroscience #NUS",275,2,17,{},{},{}
17,1 year ago, ByteDance campus recruitment will start on Sept. 1st!Here are five reasons you should start your career with us. ⬇️ Visit our students & grads page once openings go live -> https://lnkd.in/gNrTDdPK#ByteDance #campusrecruitment,430,13,24,{},{},{}
18,7 months ago," How was your 2021? In Southeast Asia, we wrapped up the year with our very first Rockstar Employee Awards where we recognized colleagues who have made an impact by living out our values, ByteStyles! We had party props and snacks delivered to our homes for us to enjoy the awards night together. Employees across Southeast Asia tuned in and celebrated this special event together accompanied by trivia games, virtual concerts, and an exclusive photobooth. Congratulations once again to the winners, nominees and all ByteDancers! 🎁 🥂🎉 Let's keep inspiring creativity and enriching lives.#bytedance #rockstar2021 #bytestyle #thankyou",384,7,16,"{'comment1': 'Well deserved Queen ☀️ Sabrina L. 😎', 'comment2': 'Deborah Ong halooo Deborah!! Long time No see👋👋', 'comment3': 'Congrats Matthew Tanaya', 'comment4': 'Thank you Dicky Sukarmadji!'}","{'username1': 'Alexander Julio Pelawi', 'username2': 'Alexander Julio Pelawi', 'username3': 'Dicky Sukarmadji', 'username4': 'Matthew Tanaya'}","{'job_title1': 'Monetization Integrity Operations - Model Optimization Specialist at TikTok | Community Engagement & Project Manager | KOL Analyst | Copy & Content Writer | Social Media Specialist | Cheerleading and Modern Dance Coach', 'job_title2': 'Monetization Integrity Operations - Model Optimization Specialist at TikTok | Community Engagement & Project Manager | KOL Analyst | Copy & Content Writer | Social Media Specialist | Cheerleading and Modern Dance Coach', 'job_title3': 'Digital | Sales | Marketing | FMCG | Music | Luxury | Health | Beauty', 'job_title4': 'Artist Promotions Lead at ByteDance'}"
19,1 year ago," Check out the highlights from our global Family Fest, a series of events we held earlier this summer for ByteDancers and their families! Featuring an alpaca run, video contest, wildlife showcase, sharing sessions, and more, Family Fest brought ByteDancers around the world closer together.Our mission to inspire creativity and enrich life starts with prioritizing the wellbeing of our employees. At a time when many of us are working from home, this was one of numerous company initiatives we've launched to support and lift the spirits of everyone at #ByteDance!#wellbeing #workingfromhome",136,2,4,"{'comment1': 'Péssima equipe. Péssimo atendimento. Propaganda enganosa! Nao respondem e-mail com feedback do desenvolvedor app (descrito no próprio Play Store) , faz oferta quando abro o Facebook e nao cumpri com o prometido Iphone11, sendo que eu cumlri passo a passo em 25/08, pede para enviar mensagem diretamente no site TikTok, envio e continuo sem retorno.  Muita falta de respeito com o usuário e ainda faz oferta e não cumpri com o combinado. Nao tem SAC e não tem ouvidoria.  Unic mei por e-mail  de comunicação não funciona.  Denunciei Procon, Site: consumidor.gov , reclami aqui, e se eu pudesse dar ZERO no app eu daria, então dei 1 estrela e relatei por lá o ocortido e + uma vez, sendo ignorada. Kim Farrell', 'comment2': 'We are a dancing family from Australia! 😍'}","{'username1': 'Lilian Machado Vechiato', 'username2': 'Viv Laver'}","{'job_title1': 'Profissional do Segmento Financeiro | Gestão Comercial Bancária | Investimentos e Mercado de Capitais | Gestão de Pessoas e Desenvolvimento de Negócios | Programa Advisors de Alta Performance', 'job_title2': 'Mummy Laver at We Are The Lavers'}"
