,date,year exp,score,pros,cons,position
13,2022-06-13,Current Employee,4.0,team members are good and can really learn things.,"although based in sg, the team majority base in China, which means have to collaborate remotely.","Software Engineer, Infrastructure"
14,2022-05-23,"Current Employee, less than 1 year",5.0,"Good salary, nice office, and free food.",Not international enough (Too many Chinese in my team),Internship
15,2022-05-31,"Current Employee, more than 1 year",2.0,"Friendly teammates, Supportive direct, Known team strategy, but no department level strategy","0 leadership, 0 support, 0 vision, 0 work/life balance",Partner Operations Manager
16,2022-05-17,Current Employee,5.0,"Great benefit, salary, colleagues etc",Favouritism among team members etc,Customer Service Representative
17,2022-05-27,Current Employee,4.0,"Lots of swags, Attractive pay, Interesting business, WLB is still better than other Chinese companies in Singapore, Good opportunity to improve your Chinese if you are interested to","Still a lot of reliance on Chinese teams, A lot of documentation in Chinese , Increments are not guaranteed, Fast pace of development might cause a lot of tech debt accumulation and fire fighting and even make a lot of work you’ve done obsolete in just months, Compliance to data privacy and protection is still quite manual and tedious process, Manually maintaining mirroring pipelines across multiple data centers is very manual and tedious",2-1 Data Engineer
18,2022-05-19,"Current Employee, less than 1 year",4.0,"Being a young company, there are a lot of challenges in ByteDance that you wont find in other companies of the same scale. This means there is usually challenging but exciting work, and things are always moving very fast.","However this also means that sometimes things might be overwhelming, and there might be a lack of organisation at certain things.",Software Engineer
19,2022-05-04,"Current Employee, more than 1 year",5.0,Nice environment and helpful colleagues,slow progression and many documents,Data Engineer
20,2022-05-02,"Current Employee, more than 3 years",5.0,"1. The office tools used for WFH are diverse and very efficient;, 2. Many colleagues have overseas study background or overseas work experiencce and they are culturally open and inclusive;, 3. Anyone who works in the company just needs to focus on getting things done and so the way of collaboration is direct and effective.","1. Working overtime is quite often and it somehow keeps you from WLB;, 2. Sometimes there could be more people than work and it creates tension and competitions even within the same team. , 3. The career ladder is not crystal clear to all employees.",Anonymous Employee
21,2022-04-22,"Current Employee, less than 1 year",5.0,"Awesome Culture, Flat structure, feels like i'm in a university",can be difficult to navigate and to find people in charge because there is no organisational chart,Ops Product Business Partner
22,2022-05-05,"Current Employee, less than 1 year",3.0,Amazing benefits and packages offered,"No training provided, expect you to self learn and OJT, No clear guidance or big picture given to help easing into the role",Anonymous Employee
23,2022-05-03,"Current Employee, more than 1 year",4.0,Good learning experience and understand how monetization works here,Messy management. High attrition rate.,Anonymous Employee
24,2022-05-07,"Former Employee, less than 1 year",1.0,N.A. none at all to mention.,"Awful leadership which does not motivate or trust team. Very toxic. No oversight from head office so leaders can do whatever they want. Team was overworked and management (and HR) would not take any action against complaints about lead. Team and company had grown so much and so fast that there was no unique BD culture and values to anchor on. Given that it's on growth phase, it was probably easy to impress a not-so-involved head office with bottom line numbers to make a name for oneself at the expense of team. Also working style is not efficient or organized if only working on Lark. , , Bottom line: think twice before joining. Especially internal functions. Work method and toxic leadership may not bring out the best version of yourself.",Anonymous Employee
25,2022-04-13,"Current Employee, more than 1 year",4.0,fase paced. good colleagues. interesting scope,"- frequent reorg and scope change, - low visibility on the big picture",Data Analyst
26,2022-04-28,"Current Employee, less than 1 year",1.0,efficient and agile in pushing things through,really really bad hours (always goes to 1-2 am),E-Commerce Analyst
27,2022-04-04,"Former Employee, more than 1 year",3.0,"good benefits, skilled coworkers, can be exposed to cutting-edged techs",work load may not fit everyone,Anonymous Employee
28,2022-04-25,Current Employee,1.0,Worst place to work. Every form of communication is in Chinese,Long hours. Salary used to be good earlier but now it’s average and most of the docs are in Chinese. It has made my life a living hell,Software Engineer
29,2022-04-01,"Current Employee, more than 8 years",4.0,"Competitive compensation package , Autonomy and trust based","Irregular hours due to time zones in a global team , Need to converse in mandarin at times",Project Manager
30,2022-03-31,Current Employee,4.0,"Strong culture and adherence to values, collaborative and fast-paced.",Bimonth goal-setting seems to drive very short term thinking.,Anonymous Employee
31,2022-03-28,Current Employee,4.0,open and fast-paced. surrounded by talents,your experience depends on team,Data Analyst
32,2022-03-29,Current Employee,3.0,ByteDance  is  a good company,Daily work is very helpful for my growth,Software Test Engineer
33,2022-03-24,"Current Employee, more than 1 year",2.0,"No micro-managing, Not required to OT, Plenty of benefits - swags, care package, gifts and etc",Unfair hiring process: manager referred ex-employees from  previous company and conducted the interviews. Give more responsibilities to these employees = unfair tasks delegation + Advantage for performance review/promotions/award nominations,Anonymous Employee
34,2022-03-21,"Current Employee, more than 1 year",4.0,Good salary and good benefits,"long time work, overtime frequently",Algorithm Engineer
35,2022-03-06,"Current Employee, more than 1 year",5.0,"No pressure, flexible schedule for life",not much space to grow.,Scientist
36,2022-02-07,"Former Employee, less than 1 year",5.0,"Fun, encouraging team great remuneration",honestly no cons was a great experience,Internship
37,2022-02-11,"Former Employee, more than 1 year",3.0,"- Lots of smart people joining the company, - Work culture depends on the team, - Great benefits","- Still has that 996 mindset, especially if your team works closely with the chinese stakeholders, - Feedback for burnt-out are typically replied with ""encouragement to persevere"", that working hard eventually pays off, - Low employee retention, not all team are managed properly",Senior Product Manager
38,2021-12-20,"Current Employee, less than 1 year",5.0,"- Above average compensation, , - Smart colleagues! It feels awesome to collaborate and be surrounded by some of the brightest software engineers around, , - Great benefits (amazing pantry, free lunch everyday, lots of company swag all year round, etc.) , - and contrary to what many reviews here say...  Pretty good work life balance! However, do note that this is largely helped by the fact that we're based in Singapore and thus exist in the same timezone as Beijing, so international meetings don't happen at odd hours for us compared to offices in London and Bay Area, for instance.","- Less annual leaves than my previous company (but with the ability to carry forward unlimited leaves), , - Slower career growth for non-China based employees (according to my co-workers) , - and the occasional language barriers when dealing with international teams (which honestly isn't a huge deal breaker because everyone can speak English to some degree anyway)",Software Engineer
39,2022-01-09,"Current Employee, less than 1 year",5.0,Teams are super open minded and always welcome new ideas which really promotes growth. Love the always day 1 mindset to keep every one on their toes!,Nothing really everything has been great so far,Business Development
40,2022-01-17,"Current Employee, less than 1 year",3.0,china company has tiktok and mlbb,china company young kids working here,Regional Sales Director
41,2022-01-13,"Current Employee, more than 1 year",3.0,"Fast-paced, high growth, engineering quality",Lack of clear career growth,Software Engineer
42,2022-01-13,Current Employee,4.0,"Love the flexibility. There is no 996 culture. , Very good compensation and welfare!","Organisation is too flat, sometimes may need a manager to have more power to speak for everyone",BDC
43,2022-01-01,Current Employee,3.0,Good business prospects and beautiful office,Lack of guidance and people care,Human Resources Business Partner HRBP
44,2021-12-27,"Current Employee, less than 1 year",3.0,unicorn of unicorn tech company...,"too many teams and business, your work experience really depends on specific team and business.",Anonymous Employee
45,2021-12-18,"Current Employee, less than 1 year",3.0,"modern technology stack, decent internal framework support, decent compensation and competent teammates",work at a stressful pace; no boundary between working hours and private time,Software Engineer
46,2021-12-20,"Current Employee, more than 1 year",3.0,Has lots of opportunities for growth,"Code quality isn't high because of high iteration speed, Could shy away people who aren't used to working in a more chinese environment",Software Engineer
47,2021-11-27,Current Employee,5.0,Great place to learn and grow,Work pace and volume can be too much for those who are not able to cope.,Legal Counsel
48,2021-11-29,"Current Employee, more than 1 year",3.0,"- Fast pace culture, - Ownership and accountability, - See the fruits of your labour",- The pace is not for everyone. It can wear you out easily. The trick is to prioritize your mental/physical health and understand the top prioritized projects that can make bigger impact,Product Marketing Manager
49,2021-11-27,"Current Employee, more than 1 year",3.0,"Talented coworkers, Great benefits, Great starting salary","Poor compensation and career advancement opportunities. Much easier to find another opportunity elsewhere. A lot of engineers leave after a year., Poor WLB. A heavy workload is the expected norm. You can choose to take a lighter workload but your performance review will be affected., Poor management of project cycles, Poor recognition of individual achievements, Only top performers are rewarded appropriately. If not, you should probably leave after a year.",Software Engineer
50,2021-11-16,"Current Employee, more than 1 year",4.0,"Fast-pace life, benefits and free lunch","Stressful, need provide more benefits",Software Engineer
51,2021-10-23,Current Employee,4.0,Kind of freedom and No burnout,The infra is kind weak,Machine Learning Engineer
52,2021-10-02,"Current Employee, less than 1 year",5.0,"Company benefits are good, culture is nice",Workload can be stressed sometimes,Software Engineer
53,2021-10-16,"Former Employee, more than 5 years",4.0,"-Fast growing environment for anyone who likes the challenge, -Supportive management, -good working environment",-Product direction could have been clearer,Senior Presales Consultant
54,2021-09-29,"Current Employee, less than 1 year",5.0,"+ good culture and nice people, + good benefits",Chinese centric and will likely need to know chinese to udnerstand documents,Associate
55,2021-09-21,Current Employee,5.0,"Competitive salary and benefits, Nice working culture and co-workers",Fast pace and sometimes could be quite pressurized.,Anonymous Employee
56,2021-10-01,"Current Employee, more than 1 year",3.0,"Colleges are clever and nice, if you are a rookie you will learn a lot","No wlb, lots of work, lots of ot, almost everyday",Backend Engineer
57,2021-09-27,"Current Employee, less than 1 year",2.0,Young and fast growing company. Lots of opportunities,"Teams are working in Silos , no synergy amongst teams. , Employees hired might not have the correct skillset for the role they are hired for and no proper training in place to properly train new hires so that they are equipped with knowledge to go their work",Trust and Safety Associate
58,2021-09-20,Current Employee,2.0,Will give out freebies regularly and free lunch,Poor work life balance and ppl there do not ensure that new hires are included.,Human Resources Business Partner HRBP
59,2021-09-02,Current Employee,5.0,excellent company for internet and short video,fewer people owing to work too much,Software Engineer
60,2021-09-15,"Current Employee, more than 1 year",3.0,Things move fast and efficient,Long working hours and pushing you hard,Anonymous Employee
61,2021-08-26,Current Employee,5.0,"employee benefit company. , healthy environment for women's as well.",i didn''t find yet. its a great place to work.,Legal Operations Specialist
62,2021-08-23,Current Employee,4.0,"- challenging, suitable for people who want to sharpen their skill, - reasonable salary, - open culture",- bad work and life balance,Anonymous Employee
63,2021-08-15,Current Employee,4.0,lots of perks and activity,work-life balance hard to achieve,Business Development Manager
64,2021-08-11,"Current Employee, more than 1 year",4.0,"In SG, wlb is okay, but the team culture various from team to team. I would said currently I feel satisfy!","Need to speak Chinese for better communication, part of the document is wrote in Chinese.",Backend Developer
65,2021-08-09,Current Employee,4.0,"not-too-bad package & benefit, expanding really quick globally. a chance to get on board a rocket","less work life balance, hopeless internal promotion process. some aspects still start-up including management style.",Project Manager
66,2021-08-02,Current Employee,4.0,"Many resources such as GPUs, benefit is overall quite decent compared to other companies out there","No career progression, feels as if the job and rank is the same after working for multiple years",Anonymous Employee
67,2021-07-28,"Former Employee, more than 1 year",2.0,The benefit and compensation benefits is competitive and good.,"Leadership in some XFN is messy. Although hierarchy is flat in general but some low tier managers are micromanaging people but lack of basic fundamental knowledge. in the team operational scope. Even with multiple fedback/complaints, things get brushed off.",Operations Analyst
68,2021-07-17,"Current Employee, more than 1 year",3.0,"- smart people, - interesting and challenging projects",Very poor work-life balance. Heavy work and on-call duties for engineers,Software Engineer
69,2021-07-07,Current Employee,4.0,"compensation is ok, reputation is high","language environment, engineering culture, pay adjustment",Software Engineer
70,2021-07-01,"Current Employee, less than 1 year",4.0,"Good benefits, fairly competitive salary.","depending on team, can be quite heavy workload. might need to speak mandarin to china-based colleagues.",Junior Software Engineer
71,2021-07-13,"Former Employee, less than 1 year",1.0,"decent pay, free deliver voucher for lunch, free snacks, many freebies during festival","no work life balance, working hours same as as china, need to speak Chinese for 90% of the time even if there are non-chines speakers in the meeting, culture is very exclusive if you are not Chinese , minimal manager guidance as one manager can manage up to 50-60 people, lack career progression",Monetisation Integrity
72,2021-06-07,Current Employee,5.0,"Good work - life balance, modern technologies, good team","Free snacks - growing too fast, GO is main language, maybe cons for someone",Software Engineer
73,2021-06-03,Current Employee,5.0,"-Fun, -Companionship, - Safety, - Tradition, -Part of the family","- Resposibility, -Costs, - Clean up of messes, -Alter schedules, - Effort of training",Software Engineer
74,2021-05-06,Current Employee,5.0,The whole interview process was made very seamless using various online conferencing tools. Communications and follow up at the various stages of interview was made promptly too! Very impressed with the talent acquisition team!,No Con to speak of.,Workforce Management Analyst
75,2021-05-22,Current Employee,3.0,company is growing. lots of opportunity.,work life balance is bad,Software Engineer
76,2021-05-18,"Current Employee, less than 1 year",4.0,"The management is pretty good, and team of engineers is brilliant. Lots of learning opportunities and flexibility in changing teams.",Negotations on pay-scale is very tough,Backend Engineer
77,2021-04-30,"Current Employee, less than 1 year",5.0,Good and interesting projects and motivated colleagues,Some code documentation is in chinese,Software Engineer(Internship)
78,2021-05-04,"Current Employee, less than 1 year",3.0,"Enjoy the work alot. China-based teammates make the effort to speak as much English as they can, even if they are not very fluent. Growing Singapore-based teams. Lark auto-translation works most of the time for documents.","Colleagues still use Chinese as the main language of business, despite efforts by leadership teams to require English in both written and verbal forms of communication. Require extra effort by non-Chinese speaking employees to get tech diagrams and business flows to be translated. May regularly get pulled into adhoc meetings where Chinese is used for 75-90% of the time.",Product Manager
79,2021-04-24,Current Employee,3.0,high growth of the company,management on the ground is not good.,Senior Softwere Engineer
80,2021-03-29,"Current Employee, more than 1 year",5.0,"Benefits are getting better and better each year. It's slowly becoming an international company by hiring key positions outside of China. HQ is based in China, however, they are giving more autonomy and growth expansion to it's non-China business. It's a great time to join them!",Increment is not guaranteed. Highly performance based - only high performers will be rewarded.,Manager
81,2021-04-05,Former Employee,5.0,Bytedance is a very good company,I don't think of any cons,Business Analyst
82,2021-03-29,Current Employee,5.0,very good company for career growth,maybe not good for fresh grad,Backend Developer
83,2021-03-03,"Current Employee, less than 1 year",5.0,Lots of interesting work as the company is diversifying its business.,May need Chiense for a better career path.,Machine Learning Engineer
84,2021-03-01,"Current Employee, less than 1 year",5.0,Great TC and benefits and people.,Need Chinese for a better career path.,Machine Learning Engineer
85,2021-03-09,Current Employee,3.0,"Good for growth, Good benefits, Fast moving company","Long hours, sometimes can work overtime for months on end",Anonymous Employee
86,2021-02-18,Former Employee,5.0,"great culture and values, nice food",I can not think of any cons.,Anonymous Employee
87,2021-02-07,Current Employee,5.0,"Free snacks, great working culture. Lots of learning and development opportunities","Long and tiring working hours,",Human Resources
88,2021-01-31,"Current Employee, less than 1 year",5.0,"Innovative dynamic young team., A big family taking care of everyone within.","None whatsoever. Great product, tech and team",CSE
89,2021-02-14,"Former Employee, less than 1 year",4.0,decent salary for this level,high pressure and very much pushed,Software Engineer
90,2021-01-24,Current Employee,5.0,"Good salary, benefit, working culture, project",Not as reputable as other big tech,Software Engineer
91,2021-01-21,Current Employee,5.0,"The leaders motivate you to go further and push the envelop. You get autonomy to make decisions and take risks. Great co-workers, Everyone is super motivated","Can become your whole life, so you need to find work life balance by yourself, and everyone will support you achieve it.",Digital Marketing Manager
92,2021-02-03,Current Employee,4.0,"Good company to join, fast paced environment.",Sometimes too agile in changing organisational direction.,Territory Manager
93,2021-01-19,Current Employee,5.0,Agile and fast moving tech company.,"Unclear allocation of responsibilities, lot's of people passing the buck.",Legal Counsel
94,2021-01-09,"Current Employee, less than 1 year",4.0,"It is a pretty fast-paced environment, while that can also sporadically be a con as it is a pro. The work here is challenging and inspires you to learn more. Overall decent engineering culture.","Work-life balance can be and should be improved. And in terms of diversity, there really isn't any.",Software Engineer
95,2021-01-08,"Current Employee, less than 1 year",3.0,"Great benefits and flexibility, Nice office , Very innovative","Stressful, Burnout, OTs, Bi-monthly goals & Awkward team building",Business Solutions
96,2020-12-03,Current Employee,5.0,"Talent Acquisition Partner guides the candidate through the process and set up the interviews at convenient times., The process takes about a week's time if you are the right fit., Extended support and guidance given when applying for the work-pass if you are an expat. , The up-to-date communication with HRBP and the work-pass application team is kept in email., It is ""Always Day 1"" here at ByteDance, strive for more and support each other. Everyone simply celebrates what each individual brings to the table., Overall a smooth and a swift hiring experience!","The Official Work Agreement will only be shared once you have resigned from previous employment if any. To be signed at the start date of your employment with ByteDance., However all clauses can be clarified with the HRBP and they provide sufficient clarification in email.",Onsite Specialist
97,2020-12-10,Current Employee,5.0,"1. Good benefit, 2. Great career growth",1. A bit peer pressures since everyone is hardworking and talented,Software Engineer
98,2020-12-16,"Current Employee, less than 1 year",3.0,"Flat hierarchy, decent compensation and great benefits (insurance coverage, 18 days of leave to start out and a goodie bag for every festive occasion).","A large number of their staff is based in China and most of them are more comfortable speaking in Mandarin, even documentations are Chinese. Expect communication issues if you are in a global team but are not a Mandarin speaker. Working hours can be long. From what I hear, salary adjustments are minimal, so what you get now might be what you get for the next few years.",Software Engineer
99,2020-12-20,Former Employee,3.0,good benefits and company events for mingling,"poor leadership and management, Lack of transparency and effective decision making",Anonymous Employee
100,2020-12-26,Former Employee,1.0,Good and smart people to collaborate,"Long working hours, hard to balance family and work",Sales
101,2020-11-07,"Current Employee, less than 1 year",4.0,"1. Relatively high pay compared to most local companies, 2. Headstart in career",Can't think of any atm.,Software Engineer
102,2020-10-16,"Current Employee, more than 1 year",3.0,Learn many different emerging tech,No cons at the moment,Software Engineer
103,2020-09-19,Current Employee,4.0,"Lots to learn, company really takes care of its employees","Chinese superiority complex, overworked quite often",Project Manager
104,2020-07-12,Former Employee,2.0,"Fast growing company., Challenging job. Can learn a lot., Flat organization., Young culture., Salary is fine if you don't counts the hours.","No work-life balance. The company expects you to work long hours same in Mainland China. Big NO for people who need to spend time with family. , Non-empathetic, result-orientated, harsh management., No one talks/ cares about employee wellbeings, all about fast fast fast.",Anonymous Employee
105,2020-08-15,Current Employee,4.0,A great company for future career advancement,A high qualification is required,Supply Chain Executive
106,2020-07-21,Current Employee,1.0,"free food and drink, fast paced","extra working hours, not flexibale",Anonymous Employee
107,2020-03-19,"Former Employee, less than 1 year",1.0,no pro that one can think of,"- bad policies, - bad leaders, - no career development. bad TOD team, - rude and harsh bosses, - no knowledge of work domain",Monetisation Manager
108,2020-03-09,Former Employee,2.0,"The work is interesting, learned a lot","Long hours and tiring, not much progression if you are not from China",
109,2020-02-17,"Former Employee, less than 1 year",3.0,Free meals provided every day.,lots of structural changes in the organization,Anonymous Employee
110,2020-01-15,"Current Employee, less than 1 year",5.0,Develop fast. Free to do any you want.,"Tired, work so long. , Salary no raise.",Consulting Hardware Engineer
111,2019-07-26,Current Employee,5.0,"- Large Platform , - Chanllenging jobs",- 996 work style,Anonymous Employee
112,2022-09-03,"Current Employee, more than 3 years",5.0,"Top salaries in China, profashinal and skilled colleagues., Flat management., Top technical chellanges.","Under the condition of fast-paced and high-intensity work, it is difficult to have work-life balance.",Senior Bigdata Engineer
113,2022-08-28,"Former Employee, less than 1 year",5.0,"young team members... very energetic and fun to work with. , things get done fast and moving all the time, not boring at all..",Flexibility and adaptability to new updates to the role is a must as business/trend is changes daily depending on the current trend.,Social Media Content Moderator
114,2022-08-28,Former Employee,5.0,A good opportunity to get to know the workflow of AI speech production.,The job itself is not very challenging and core technology is relatively easy to be replaced.,Data Linguist
115,2022-08-27,"Current Employee, more than 1 year",5.0,Has an excellent benefit in many aspect,Currently I have no cons,Anonymous Employee
116,2022-08-26,"Current Employee, more than 1 year",5.0,easy to grow and lot of gift,everything is good for me.,Anonymous Employee
117,2022-08-24,Former Employee,5.0,Employee first company which is a great Plus.,Chinese firm and has geo-political disadvantages.,Content Head
118,2022-08-23,"Former Employee, less than 1 year",5.0,Colleagues all frdly and the working experience was cool,Need to OT until very late sometimes,Anonymous Employee
119,2022-09-05,"Former Employee, more than 3 years",4.0,Good promotion depends on our performance and good facilities in office,Worst politics in Indian management.,Quality Analyst
120,2022-09-05,Current Employee,3.0,"WFH 3 days a week., Decent pay, Relatively easy to advance, In office lunch provided","Unreliable management, Long workdays, Repetitive work , Management lacks personal accountability",Subject Matter Expert (SME)
121,2022-08-21,"Current Employee, less than 1 year",5.0,"Although fast paced, the people around are willing to help anytime., Fun working environment",Stressful content reviews could take a toll on your mental health.,Content Moderator
122,2022-09-04,Current Employee,4.0,Big name company and good work experience,Bad HR system and career path,Strategy Manager
123,2022-09-05,"Current Employee, more than 1 year",4.0,Most colleagues are young and energetic,"Under the potential sanctions from both the American and the Chinese governments, really don't know if the stock options are still worthy of any value.",Tech Lead
124,2022-08-20,Former Employee,5.0,"Good, nice, best, stable and great work",Nothing bas as such to mention here,Sporting Goods Sales Associate
125,2022-09-03,"Current Employee, more than 1 year",3.0,"- good system interface, - flexible work life balance, - good food at office","-poor management, - kpi getting more ridiculous",Quality Assurance
126,2022-08-19,"Current Employee, more than 3 years",5.0,Good company culture with great opportunity,Work life blance is very less,Assistant Leader
127,2022-08-18,"Current Employee, more than 1 year",5.0,"- Medical for spouse & child, - Dental & Optical, - Meal allowance, - Increment","- No GL for maternity, - Low Increment , - Sharing work desk",Quality Assurance Analyst
128,2022-08-18,"Former Employee, more than 1 year",5.0,My term was short with the company due to Indian government policies. But had a great working experience with Bytedance,Great Place to work ... It is an employee friendly company,Content Management Specialist
129,2022-08-18,Current Employee,5.0,a privileged place for work,workload is a little bit overburden,Product Manager
130,2022-08-16,Current Employee,5.0,"friendly environment, good benefits, efficient","work hours, work life balance",Anonymous Employee
131,2022-08-16,Current Employee,5.0,"I think everything is very good,","i think it's NO, everything is OK",IOS Engineer
132,2022-08-17,"Former Employee, less than 1 year",5.0,"Great learning and office culture,, creative mind at work",Nothing as of nowww... loved it,Marketing
133,2022-08-28,Former Employee,3.0,"Tension free environment, good team support",Onboarding process was not much easy,Subject Matter Expert (SME)
134,2022-08-28,Current Employee,3.0,"Nice company culture, talented people in the creation and production area",Need to be more integrated and following the local regulations,Senior Manager
135,2022-08-27,"Former Employee, less than 1 year",4.0,new office and good facilities and food provided,"long working hours, result oriented work only",Community Operations
136,2022-08-25,"Former Employee, more than 1 year",4.0,"The benefits are excellent, company culture is awesome","It depends on the role, you might incur in a micro-management leadership style",Anonymous Employee
137,2022-08-24,"Current Employee, more than 1 year",4.0,"good salary and working environment , and food","have little work-life balance, fast pace",Anonymous Employee
138,2022-08-24,Current Employee,3.0,The company is good with providing good food.,The management is not stable and doesn't take proper stand when required.,Quality Analyst
139,2022-08-24,"Current Employee, more than 3 years",3.0,The food served at the office is good,Poor Management issue is there,Quality Analyst
140,2022-08-15,Current Employee,3.0,The company is young and energetic. You can speak out you ideas and carry them out.,Lack systematic engineering methodology. Perhaps too fast or agile?,Backend Developer
141,2022-07-29,"Current Employee, more than 1 year",5.0,good salary and good environment,need to review extreme content,Content Moderator
142,2022-08-11,Former Employee,4.0,Get to push things out quickly and see the result,Lots of pressure in a constantly moving environment,Product Manager Intern
143,2022-08-11,"Current Employee, more than 1 year",4.0,"nice team, nice culture and alway energetic","new position, career path is not so clear,",Interactive Engineer
144,2022-07-27,Current Employee,5.0,Lots of benefits from company,Bytedance  is my favorite company,Marketing Content Creator
145,2022-08-10,"Current Employee, more than 3 years",4.0,"Energetic, good benefits, free meals, free gym. And the money is good.","Very tired and stressful, you may work for several different and totally separate and irrelevant programs in a year. Really result oriented.",Product Manager
146,2022-08-09,"Current Employee, more than 1 year",3.0,good salary; staff canteen is excellent; work atmosphere is open and enjoyable; team is in general supportive (but really depends on the specific team).,"huge workload; must deal with many things in parallel. No balance between life and work, to be precise and frank.",Data Scientist
147,2022-08-05,"Current Employee, more than 5 years",4.0,Well paid with smart people,Very very bad Work life balance,Software Engineer
148,2022-08-06,"Current Employee, more than 1 year",4.0,Can expect career growth if you performed well. Many company benefits. Many programs organised by HR and other departments. Generous with gifts.,Can get a little competitive at times. I also feel like we're overstaffed.,Quality Analyst
149,2022-07-22,"Current Employee, more than 1 year",5.0,Good working environment with strong sense of care for employees wellbeing,can't think of any at the moment,Workforce Analyst
150,2022-07-22,"Current Employee, more than 3 years",5.0,"The most competitive salary in Hangzhou., And the most attractive working environment for developers, especially the most conscientious colleagues in China.","May having no time for lives if you are tending to get promotion, over-time working may be made.",Front End Developer
151,2022-08-04,Current Employee,4.0,Great work atmosphere with great payments,"Too much work, most documents are in Chinese",Software Engineer
152,2022-08-04,Current Employee,4.0,"Love working with everyone on my team and wider org, Chinese team is very helpful and actively trying to further support English and US/UK collaboration, A lot of East Asian snacks and food - best microkitchen selection at any company I've seen., A lot of flexibility in research areas,  as long as it's related to content creation or user experience and you can show it'll have impact., Compensation is pretty generous (definitely try and negotiate above your initial offer).","I regularly have meetings until 6:30, and occasionally later. Late meetings are even more common for more senior members that speak Chinese. Personally not an issue for me, but could be for some., Required 2 days per week in the office, so you have to stay near the office, and the offices in the bay are pretty small., No employee discounts on anything (at least that I know of).",Research Engineer
153,2022-08-04,Current Employee,3.0,"Medical, optical, dental benefits, Good working environment","No yearly increment, Poor management, Kpi hard to achieve",Quality Assurance Analyst
154,2022-08-04,Current Employee,3.0,"1) company has good path , 2) making some progress in techniques","1) no much humanity experience, 2) too much relation xxx, 3) disrespectful",Research Scientist
155,2022-07-20,"Current Employee, more than 1 year",5.0,"Great atmosphere, super friendly people","Nothing, it is just great to work here",Business Analyst
156,2022-08-03,Current Employee,4.0,"Great colleagues, cultures.. people are great. feel proud to work with","Perks, salary, too much pressure to achieve target every month as sales team",Sales Associate
157,2022-08-03,Current Employee,4.0,"Hybrid (can do in person of WFH), nice community",Hard to climb up to a better position,Anonymous Employee
158,2022-08-04,"Current Employee, more than 1 year",2.0,"Huge impact projects, low hanging fruit.","There a definitely a lot of huge impact stuff to do, but not a good place for newbie in the industry.",Software Engineer
159,2022-07-19,"Former Employee, more than 1 year",5.0,Great work culture and company engagement event,very diverse work scope and multiple,Marketing Specialist
160,2022-08-02,"Current Employee, more than 1 year",3.0,Enjoy working from home during the MCO,"Salary is normal, benefit wasn’t that highly expected. Management is below average because very minimal recognition to SME level and above. Some of them are quite favouritism and year end bonus wasn’t wow at all for such a big company like this",Anonymous Employee
161,2022-07-18,Former Employee,5.0,make a save home on social media .,will be better to find it when i work there .,Content Moderator
